United Arab Emirates,9157,9040
United Kingdom of Great Britain and Northern Ireland,64715.8,63955.7
United Republic of Tanzania,53470.4,50213.5
United States of America,321774,317136
Uruguay,3431.6,3408
Uzbekistan,29893.5,29033.4
Vanuatu,264.7,253.2
Venezuela (Bolivarian Republic of),31108.1,30276
Viet Nam,93447.6,91378.8
Yemen,26832.2,25533.2
Zambia,16211.8,15246.1
Zimbabwe,15602.8,14898.1
